dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold
Student Perf,csbm,0.7781139071867962,26.352978770452317,0.0,0.31888711489534605,0.2805730075019854,3.3654038379945073,0.025464368533486666,0.30631451444564034,56.54015588760376,0.3806129360076465,0.050694919115971744,86.68071567726399,0.32991801689167477,0
Student Perf,csbm,0.7213646930115343,26.0701643147917,0.0,0.2386290292454636,0.33176342947859877,3.6470361949611254,0.032330819780924364,0.372168127797885,65.80149221420288,0.3202744431105775,0.040119751604345444,87.47332093853841,0.28015469150623207,1
Student Perf,csbm,0.7594812258199772,21.859860476950438,0.0,0.3216499969579225,0.3588355241618329,3.5359216927627792,0.025845395789688683,0.4494751962378901,50.193867444992065,0.30665550490447896,0.03250114591291062,89.40141448853674,0.27415435899156837,2
Student Perf,csbm,0.7977481055194462,26.33325678439685,0.0,0.3079258261350344,0.3539337238569821,3.86073382914542,0.0302471935339085,0.46757016850581523,57.18827724456787,0.3235608931831842,0.046595372291966725,85.59919530646532,0.2769655208912175,3
Student Perf,csbm,0.6450226892996291,26.5235762028563,0.0,0.24921775321894746,0.44546002943764257,3.458262139275054,0.032258750555847204,0.3248401461954432,50.480098724365234,0.3567999884943407,0.061739811820068644,82.69624052382841,0.29506017667427203,4
Student Perf,csbm,0.7403461241674766,25.427967309889524,0.0,0.2872619440905428,0.35411314288740836,3.573471538827777,0.029229305638771085,0.38407363063653477,56.04077830314636,0.33758075314004554,0.04633020014905263,86.37017738692657,0.29125055299099295,mean
Lymphography,csbm,,,,,0.1198954441299392,1.2051898337631288,0.12345820753570384,1.3822040820185213,17.404224157333374,0.898989898989899,0.513888888888889,42.83707865168539,0.38510101010101006,0
Lymphography,csbm,,,,,0.19750141887473535,0.8909318361303898,0.09014611020534512,1.7549423183230026,17.4923198223114,0.42727272727272725,0.21929824561403508,48.674878686076894,0.20797448165869217,1
Lymphography,csbm,,,,,0.20041489740854992,0.8317772893077335,0.2527344980152801,1.9809783404333263,17.480215072631836,0.396969696969697,0.14772727272727273,62.786259541984734,0.24924242424242424,2
Lymphography,csbm,,,,,0.49179774303847584,0.9220307684945992,0.10474294998378646,2.284161855427294,17.565625429153442,0.5263157894736842,0.19522591645353793,62.907075873827786,0.33108987302014625,3
