dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold
Student Perf,msbm,0.3235546667568693,2.16054276698926,0.0,0.04461932782138478,0.06409467939469334,3.272491501825674,0.021405583682976338,0.3422668347395102,6.060848236083984,0.3806129360076465,0.06473050758765045,82.9930878685768,0.31588242841999603,0
Student Perf,msbm,0.29233051024433343,1.7060656594931105,0.0,0.03344467861145384,0.12458280061388936,3.6190653682682834,0.020876039324263657,0.4086537627561944,5.602802276611328,0.3202744431105775,0.03203389076676748,89.9979872088303,0.28824055234381,1
Student Perf,msbm,0.3861916518550949,1.6499793694448495,0.0,0.06334375417439841,0.05346833420517216,3.633149664342021,0.014097039971843011,0.49608912233644326,6.2788474559783936,0.30665550490447896,0.03564768017969988,88.37533335956128,0.2710078247247791,2
Student Perf,msbm,0.3408447280630833,2.2555234334487473,0.0,0.04218528987074366,0.03863031605598117,3.8412440937353165,0.010811868871678378,0.504939361866639,6.185615539550781,0.3235608931831842,0.03450834879406308,89.33482088809598,0.28905254438912115,3
Student Perf,msbm,0.35707923871101227,1.422723367524585,0.0,0.06899833338637784,0.05152698562840689,3.2320318443182376,0.021453731228488197,0.3641487483458961,6.21552300453186,0.3567999884943407,0.08150943773894594,77.15542590600762,0.27529055075539477,4
Student Perf,msbm,0.3400001591260786,1.8389669193801104,0.0,0.050518276772871705,0.06646062317962859,3.5195964944979066,0.017728852615849916,0.4232195660089366,6.068727302551269,0.33758075314004554,0.049685973013425366,85.5713310462144,0.2878947801266202,mean
Lymphography,msbm,,,,,0.2925046058924387,1.0849170098440506,0.14219454573340554,1.4956264270107515,0.9844529628753662,0.898989898989899,0.43270300333704115,51.86786816812688,0.46628689565285786,0
Lymphography,msbm,,,,,0.14683730840658382,1.046610933804795,0.10247827339107232,1.8591035394175544,1.0492050647735596,0.42727272727272725,0.185,56.702127659574465,0.24227272727272725,1
Lymphography,msbm,,,,,0.14704572340807814,0.7962630299339567,0.16079262678159806,2.0624125667718043,1.0051884651184082,0.396969696969697,0.24583333333333335,38.07251908396946,0.15113636363636362,2
Lymphography,msbm,,,,,0.19734295051973508,1.1058949550776314,0.09516512022132184,2.4076697144027692,1.0678515434265137,0.5263157894736842,0.3475,33.975,0.1788157894736842,3
Lymphography,msbm,,,,,0.12181765565789122,1.1056947223811242,0.12316802809643479,1.635535702685101,1.0507957935333252,0.8564102564102564,0.2631578947368421,69.27198235108729,0.5932523616734142,4
Lymphography,msbm,,,,,0.1811096487769454,1.0278761302083117,0.12475971884476651,1.8920695900575961,1.0314987659454347,0.6211916738232528,0.2948388462814433,49.97789945255162,0.3263528275418094,mean
Breast cancer,msbm,,,,,0.00921042437178847,0.0,0.09975804040470877,0.8815125288607442,1.0231726169586182,0.604040404040404,0.4166666666666667,31.020066889632105,0.18737373737373736,0
Breast cancer,msbm,,,,,0.193040590506997,0.0,0.0989373663812349,0.8816062317870467,1.1757078170776367,0.6339869281045751,0.4105263157894737,35.246880086814976,0.22346061231510145,1
Breast cancer,msbm,,,,,0.03869746753332974,0.0,0.3425273087443742,0.9327448440406446,1.0031332969665527,0.7335271317829457,0.4148936170212766,43.43854520925265,0.3186335147616691,2
Breast cancer,msbm,,,,,0.005751914859057638,0.0,0.07146680861641833,0.9444248925347845,0.9963445663452148,0.5864661654135338,0.4148936170212766,29.25531914893617,0.17157254839225722,3
Breast cancer,msbm,,,,,0.032053517923408076,0.0,0.07214833656904243,0.8692511876780457,1.0469276905059814,0.6167247386759582,0.4148936170212766,32.72628921745403,0.20183112165468164,4
Breast cancer,msbm,,,,,0.05575078303891619,0.0,0.13696757214315572,0.9019079369802532,1.0490571975708007,0.6349490736034834,0.414374766703994,34.33742011041799,0.22057430689948934,mean
Car Evaluation,msbm,,,,,,,0.005698495392302086,0.09906459125102596,11.33293604850769,0.9978694984305083,0.49917782063785143,49.975640960768956,0.4986916777926569,0
Car Evaluation,msbm,,,,,,,0.004625840564849519,0.11746033407093139,10.165339469909668,0.9441464237516869,0.544533788174139,42.325281918628235,0.3996126355775479,1
Car Evaluation,msbm,,,,,,,0.00524635902509512,0.09516761167395459,9.46677303314209,1.0,0.5038894517617922,49.61105482382078,0.49611054823820777,2
Car Evaluation,msbm,,,,,,,0.0051414080067056145,0.12426294469425073,9.718751668930054,0.9505088702147526,0.4118722265562742,56.668239564853494,0.5386366436584784,3
Car Evaluation,msbm,,,,,,,0.008447290503454939,0.11473526890983367,9.526570796966553,0.9957159023549065,0.3802581806580986,61.810574707225896,0.6154577216968079,4
Car Evaluation,msbm,,,,,,,0.005831878698481456,0.11013815011999925,10.042074203491211,0.9776481389503708,0.46794629355763107,52.078158395059475,0.5097018453927398,mean
Mushroom,msbm,,,,,,,0.009372690417425597,2.9536060855926536,63.442880392074585,1.0,0.9591343148029932,4.086568519700684,0.04086568519700684,0
Mushroom,msbm,,,,,,,0.005055896354728759,2.496359115899427,73.78195071220398,1.0,0.9461315967857636,5.386840321423636,0.05386840321423636,1
Mushroom,msbm,,,,,,,0.010615956947049076,2.6111613043540136,63.75692629814148,1.0,0.966399253978122,3.3600746021878014,0.033600746021878014,2
Mushroom,msbm,,,,,,,0.011029617514856834,2.61437096421878,63.41599941253662,1.0,0.9545803478990507,4.541965210094934,0.04541965210094934,3
Mushroom,msbm,,,,,,,0.007445600927873718,2.467074783420139,58.07181906700134,1.0,0.955700354039535,4.429964596046498,0.044299645960464984,4
Mushroom,msbm,,,,,,,0.008703952432386797,2.628514450697003,64.4939151763916,1.0,0.9563891735010929,4.361082649890711,0.04361082649890711,mean
