dataset,model,Continuous_Mean_WD_summary,Continuous_Mean_KL_50bins_summary,Continuous_Corr_Pearson_summary,mmd_summary,Discrete_Mean_KL_summary,Discrete_Corr_Spearman_summary,Categorical_Mean_KL_summary,Categorical_NMI_summary,fit_time_summary,tstr_f1_real_summary,tstr_f1_synth_summary,tstr_f1_deviation_%_summary,tstr_f1_diff_raw_summary,tstr_r2_real_summary,tstr_r2_synth_summary,tstr_r2_deviation_%_summary,tstr_r2_diff_raw_summary
Adult,msbm,0.1893 ± 0.0066,0.4377 ± 0.0268,0.1954 ± 0.0485,0.0089 ± 0.0007,0.0242 ± 0.0117,0.0000 ± 0.0000,0.0162 ± 0.0052,0.8827 ± 0.0072,203.8174 ± 6.4633,0.3381 ± 0.0039,0.2663 ± 0.0162,-21.2412 ± 4.2507,-0.0717 ± 0.0139,nan ± nan,nan ± nan,nan ± nan,nan ± nan
Auto MPG,msbm,0.2560 ± 0.0658,0.9152 ± 0.1302,3.3291 ± 0.1217,0.0960 ± 0.0154,0.1046 ± 0.0210,0.6605 ± 0.0821,nan ± nan,nan ± nan,6.0551 ± 0.1512,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.8711 ± 0.0245,-0.0486 ± 0.1798,-105.8850 ± 21.2198,-0.9198 ± 0.1656
Cardiovascular Disease,msbm,0.1278 ± 0.0268,0.1237 ± 0.0191,0.4040 ± 0.0425,0.0047 ± 0.0019,0.0115 ± 0.0036,1.0540 ± 0.3710,nan ± nan,nan ± nan,417.2503 ± 25.7894,0.7362 ± 0.0028,0.6968 ± 0.0140,-5.3363 ± 2.1813,-0.0393 ± 0.0162,nan ± nan,nan ± nan,nan ± nan,nan ± nan
Churn Modelling,msbm,0.1761 ± 0.0079,0.3641 ± 0.0149,0.0994 ± 0.0213,0.0045 ± 0.0007,0.0023 ± 0.0004,0.2434 ± 0.0305,0.0006 ± 0.0004,0.0010 ± 0.0008,12.3637 ± 0.2260,0.7606 ± 0.0134,0.4445 ± 0.0020,-41.5426 ± 1.1135,-0.3161 ± 0.0139,nan ± nan,nan ± nan,nan ± nan,nan ± nan
Credit Approval,msbm,0.4192 ± 0.0260,1.2145 ± 0.2288,1.2959 ± 0.2773,0.0579 ± 0.0136,nan ± nan,nan ± nan,0.0633 ± 0.0214,1.6652 ± 0.0239,7.7916 ± 0.1762,0.8674 ± 0.0204,0.4436 ± 0.0460,-48.7737 ± 6.1774,-0.4238 ± 0.0612,nan ± nan,nan ± nan,nan ± nan,nan ± nan
Diamonds,msbm,0.1891 ± 0.0015,0.2882 ± 0.0551,4.2338 ± 0.0711,0.0830 ± 0.0012,nan ± nan,nan ± nan,0.0010 ± 0.0004,0.0288 ± 0.0022,41.2829 ± 0.8057,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.9826 ± 0.0009,-0.0337 ± 0.0393,-103.4337 ± 4.0029,-1.0163 ± 0.0390
Eucalyptus,msbm,1.0411 ± 1.6524,1.5109 ± 0.2150,2.7518 ± 0.3575,0.0281 ± 0.0016,0.0729 ± 0.0342,1.2604 ± 0.1155,0.1003 ± 0.0253,2.9886 ± 0.0552,3.4709 ± 0.3154,0.6447 ± 0.0227,0.1845 ± 0.0228,-71.3008 ± 4.1585,-0.4602 ± 0.0401,nan ± nan,nan ± nan,nan ± nan,nan ± nan
Forest Fires,msbm,0.4038 ± 0.0509,1.1207 ± 0.0463,2.4659 ± 0.1834,0.0550 ± 0.0096,0.1313 ± 0.0802,0.3220 ± 0.1725,0.1125 ± 0.0426,0.1081 ± 0.0619,1.4920 ± 0.0631,nan ± nan,nan ± nan,nan ± nan,nan ± nan,-1.8891 ± 3.1937,-1.5360 ± 1.8836,-213.5910 ± 356.0047,0.3531 ± 1.5518
House Sales,msbm,0.2373 ± 0.0052,0.6455 ± 0.0176,3.4810 ± 0.0532,0.0288 ± 0.0006,0.0117 ± 0.0057,0.5522 ± 0.0328,0.2390 ± 0.0351,0.0000 ± 0.0000,879.0962 ± 18.8014,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.9030 ± 0.0050,0.4995 ± 0.0355,-44.6903 ± 3.9473,-0.4036 ± 0.0359
Insurance,msbm,0.2190 ± 0.0145,0.3792 ± 0.0297,0.5344 ± 0.0768,0.0217 ± 0.0012,0.0323 ± 0.0246,0.0000 ± 0.0000,0.0062 ± 0.0048,0.0179 ± 0.0241,6.3403 ± 0.0249,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.8546 ± 0.0307,0.1322 ± 0.0354,-84.5362 ± 4.0146,-0.7224 ± 0.0426
