dataset,model,wasserstein,mmd,mean_kl,corr_dist,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,fold,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw
Adult,msbm,0.18374082565370936,0.08594814939839092,0.04626854854479852,1.4993415688841967,0.39728125680808324,-0.020115809243577143,105.06336703487145,0,,,,
Adult,msbm,0.17626567216679456,0.07538979533766735,0.027940406944398456,1.4297951794578765,0.4080511448374472,-0.0011009718863330686,100.26981198253311,1,,,,
Adult,msbm,0.17489770815822353,0.06294286499514282,0.08048620895786479,1.4891936882697814,0.39551807319111343,0.006134925048214446,98.4488885720934,2,,,,
Adult,msbm,0.16209675966243786,0.06938411510643178,0.059187724244377425,1.4323817303616069,0.3915051433195026,0.007232425269927734,98.15266124216609,3,,,,
Adult,msbm,0.17953516653022286,0.07352419673770601,0.06091641961304965,1.4169791019262883,0.4066747712188402,-0.003623722976722199,100.8910614142478,4,,,,
Adult,msbm,0.17530722643427762,0.07343782431506776,0.054959861660897766,1.4535382537799502,0.3998060778749973,-0.0022946307576980464,100.56515804918237,mean,,,,
Credit Approval,msbm,0.4597453883891219,0.11543197685391145,0.05629815055708816,3.1594442644362832,,,,0,0.8646310484488018,0.442386032207126,48.83528257640701,0.42224501624167576
Credit Approval,msbm,0.39650231882110476,0.22265793086099966,0.0650553765758101,3.5832822775262607,,,,1,0.9150108817882904,0.4449204406364749,51.375393450985015,0.4700904411518155
Credit Approval,msbm,0.39878262646329093,0.17837989901212134,0.05169217784998461,3.129142576315655,,,,2,0.8394885534657931,0.43650793650793646,48.003110324034445,0.40298061695785664
Credit Approval,msbm,0.4673204964580402,0.21155321867540708,0.058771730711698965,3.228936323015444,,,,3,0.9017473001924836,0.5238523009328048,41.9069731353723,0.37789499925967884
Credit Approval,msbm,0.3891909547205576,0.13479447308058817,0.05965660440901529,3.163362112736651,,,,4,0.8827050476801761,0.505791025980912,42.69988285020318,0.37691402169926413
Credit Approval,msbm,0.422308356970423,0.17256349969660553,0.05829480802071942,3.2528335108060586,,,,mean,0.8807165663151089,0.47069154725305085,46.56412846740039,0.4100250190620581
Online Shoppers,msbm,0.3619691505200969,0.11388870631295069,0.07515570126048407,2.424185978538257,,,,0,0.8899790784941908,0.7575757575757575,14.877127335811444,0.13240332091843332
Online Shoppers,msbm,0.3058868171639766,0.11298796954326265,0.05696160595697019,2.2114888055664923,,,,1,0.9020253162173032,0.7919492923006324,12.203207805325142,0.11007602391667082
Online Shoppers,msbm,0.334836682908359,0.12111222329326853,0.05595695300079333,2.3672854510872927,,,,2,0.902890470459037,0.7781547278671299,13.815157711249167,0.12473574259190712
Online Shoppers,msbm,0.31414183526615846,0.10923298927419423,0.049037033006310515,2.27303739377932,,,,3,0.896043769782522,0.7694847495165498,14.124200668840903,0.1265590202659722
Online Shoppers,msbm,0.3905682803462925,0.11020573268894802,0.013793254013484822,2.4107115590100667,,,,4,0.8971876644098742,0.7741425808579093,13.714531340079509,0.12304508355196486
Online Shoppers,msbm,0.3414805532409767,0.11348552422252482,0.05018090944760858,2.3373418375962856,,,,mean,0.8976252598725856,0.7742614216235958,13.746844972261233,0.12336383824898967
Eucalyptus,msbm,0.3096386260207304,0.1259649811668869,0.1629946168863536,5.248673134903885,,,,0,0.5926522717049032,0.24478495748372567,58.696697919251825,0.34786731422117756
Eucalyptus,msbm,0.28855849791485605,0.11228780342508177,0.1424647036044389,5.776518202034621,,,,1,0.6110698884368945,0.20106941419556598,67.09551253116841,0.41000047424132846
Eucalyptus,msbm,4.3070538104331835,0.11455487591480112,0.16700644743300713,5.417260072750523,,,,2,0.6230590782312628,0.22129487075601656,64.48252194173102,0.40176420747524627
Eucalyptus,msbm,0.29641916236554816,0.11201685040464583,0.20282495855600446,5.549395841811167,,,,3,0.6964108656142282,0.2853367408054908,59.02752879306361,0.41107412480873734
Eucalyptus,msbm,0.31438800445777987,0.12689045349911976,0.2004910561913379,5.621770699724454,,,,4,0.6320907297830375,0.13878639179779592,78.04327985859457,0.49330433798524154
Eucalyptus,msbm,1.1032116202384195,0.11834299288210708,0.1751563565342284,5.52272359024493,,,,mean,0.6310565667540652,0.21825447500771897,65.4691082087619,0.4128020917463463
Forest Fires,msbm,0.32510964413472887,0.13619126035585546,0.25242778509117236,2.9807411726037243,-55.054093033438825,-56.68615042755032,2.9644615035081334,0,,,,
Forest Fires,msbm,0.3331819350723521,0.15484294048049702,0.2668656644508006,2.9586104187017828,-14.651978443220722,-12.201122719017128,-16.727131653475105,1,,,,
Forest Fires,msbm,0.38431938248988556,0.1478716877345714,0.2416587907297964,3.0379039842535676,-8.149397704463693,-9.646432337670602,18.36988066250877,2,,,,
Forest Fires,msbm,0.35604077788336563,0.15544438030527083,0.18453302884481806,2.66578118236599,-5.365388047357941,-7.161499771166747,33.47589601386801,3,,,,
Forest Fires,msbm,0.3219849479106345,0.1450372809281661,0.22153327899776487,3.031867826431788,-8.784290312716335,-11.740377128727296,33.65197085295717,4,,,,
Forest Fires,msbm,0.34412733749819335,0.14787750996087215,0.23340370962287044,2.9349809168713703,-18.401029508239503,-19.48711647682642,14.347015475873395,mean,,,,
