dataset,model,Continuous_Mean_WD_mean,Continuous_Mean_WD_std,Continuous_Mean_WD_summary,Continuous_Mean_KL_50bins_mean,Continuous_Mean_KL_50bins_std,Continuous_Mean_KL_50bins_summary,Continuous_Corr_Pearson_mean,Continuous_Corr_Pearson_std,Continuous_Corr_Pearson_summary,mmd_mean,mmd_std,mmd_summary,Discrete_Mean_KL_mean,Discrete_Mean_KL_std,Discrete_Mean_KL_summary,Discrete_Corr_Spearman_mean,Discrete_Corr_Spearman_std,Discrete_Corr_Spearman_summary,Categorical_Mean_KL_mean,Categorical_Mean_KL_std,Categorical_Mean_KL_summary,Categorical_NMI_mean,Categorical_NMI_std,Categorical_NMI_summary,fit_time_mean,fit_time_std,fit_time_summary,tstr_f1_real_mean,tstr_f1_real_std,tstr_f1_real_summary,tstr_f1_synth_mean,tstr_f1_synth_std,tstr_f1_synth_summary,tstr_f1_deviation_%_mean,tstr_f1_deviation_%_std,tstr_f1_deviation_%_summary,tstr_f1_diff_raw_mean,tstr_f1_diff_raw_std,tstr_f1_diff_raw_summary,tstr_r2_real_mean,tstr_r2_real_std,tstr_r2_real_summary,tstr_r2_synth_mean,tstr_r2_synth_std,tstr_r2_synth_summary,tstr_r2_deviation_%_mean,tstr_r2_deviation_%_std,tstr_r2_deviation_%_summary,tstr_r2_diff_raw_mean,tstr_r2_diff_raw_std,tstr_r2_diff_raw_summary
Adult,msbm,0.18932810180126688,0.006573211918341016,0.1893 ± 0.0066,0.4377013870060389,0.026806435229011365,0.4377 ± 0.0268,0.1953682842424073,0.04850786721174734,0.1954 ± 0.0485,0.008897228980106319,0.0006780976729127947,0.0089 ± 0.0007,0.02421012227276812,0.011745714915542776,0.0242 ± 0.0117,0.0,0.0,0.0000 ± 0.0000,0.01619544347168024,0.005243152604174558,0.0162 ± 0.0052,0.8826967568412287,0.007196816258453315,0.8827 ± 0.0072,203.8174295425415,6.463283004507643,203.8174 ± 6.4633,0.3380519556510412,0.0038942633612679485,0.3381 ± 0.0039,0.26631860532028784,0.01623875336410399,0.2663 ± 0.0162,-21.241227401041463,4.250692511435017,-21.2412 ± 4.2507,-0.0717333503307533,0.013896680787044586,-0.0717 ± 0.0139,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan
Auto MPG,msbm,0.2560102135060716,0.0657936977144609,0.2560 ± 0.0658,0.9152054725633121,0.1301664671697212,0.9152 ± 0.1302,3.329073703469561,0.12170988652825018,3.3291 ± 0.1217,0.09598986922390909,0.015352036203414616,0.0960 ± 0.0154,0.10461640553990663,0.020963146278607916,0.1046 ± 0.0210,0.6605277393941731,0.0821332336652641,0.6605 ± 0.0821,,,nan ± nan,,,nan ± nan,6.055110692977905,0.15119977341306157,6.0551 ± 0.1512,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.8711308343844522,0.024459758264062156,0.8711 ± 0.0245,-0.04864789625367008,0.17984220006568677,-0.0486 ± 0.1798,-105.88502197965977,21.219795594182965,-105.8850 ± 21.2198,-0.9197787306381224,0.1655760324271622,-0.9198 ± 0.1656
Cardiovascular Disease,msbm,0.1278015825167745,0.026773512296645555,0.1278 ± 0.0268,0.12366569258430338,0.019130102108731915,0.1237 ± 0.0191,0.4040404472545577,0.04245217362954538,0.4040 ± 0.0425,0.004728647793341961,0.0018536769887085192,0.0047 ± 0.0019,0.01154932369392644,0.0035712324387961055,0.0115 ± 0.0036,1.0539889986228606,0.37100808309034544,1.0540 ± 0.3710,,,nan ± nan,,,nan ± nan,417.25025458335875,25.789363887952643,417.2503 ± 25.7894,0.7361593322221528,0.0028496731993903836,0.7362 ± 0.0028,0.6968354890360986,0.014001607621141577,0.6968 ± 0.0140,-5.336250548631258,2.181343601323141,-5.3363 ± 2.1813,-0.0393238431860541,0.016239606710212517,-0.0393 ± 0.0162,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan
Churn Modelling,msbm,0.17608466097553524,0.00790116797105866,0.1761 ± 0.0079,0.364116884461759,0.014913852990367253,0.3641 ± 0.0149,0.09938167206534898,0.021286717002041326,0.0994 ± 0.0213,0.0044948325725543995,0.0006542840147672097,0.0045 ± 0.0007,0.0022593754272628797,0.00042787699288659835,0.0023 ± 0.0004,0.24337951830062696,0.03047321353925543,0.2434 ± 0.0305,0.0006259500413122,0.0003701906342962499,0.0006 ± 0.0004,0.00103178884615784,0.0008463298589700065,0.0010 ± 0.0008,12.363708782196046,0.22598444574275278,12.3637 ± 0.2260,0.7606106080074237,0.013396311926946666,0.7606 ± 0.0134,0.4445167833468216,0.002022315940384611,0.4445 ± 0.0020,-41.5426477569874,1.1135002911390852,-41.5426 ± 1.1135,-0.316093824660602,0.013932215821989837,-0.3161 ± 0.0139,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan
Credit Approval,msbm,0.4191579062692087,0.025988596586568095,0.4192 ± 0.0260,1.2144927918370414,0.2288047267880234,1.2145 ± 0.2288,1.2958502438565944,0.27727386890429595,1.2959 ± 0.2773,0.057939282251038685,0.013639667626515181,0.0579 ± 0.0136,,,nan ± nan,,,nan ± nan,0.06334081341779516,0.021360576509335982,0.0633 ± 0.0214,1.6652087577998071,0.023942126592257917,1.6652 ± 0.0239,7.791604518890381,0.176211399906594,7.7916 ± 0.1762,0.8674297286841895,0.02036508807541265,0.8674 ± 0.0204,0.44358786770666947,0.04596301018074727,0.4436 ± 0.0460,-48.77370329236052,6.177404725070236,-48.7737 ± 6.1774,-0.42384186097751997,0.061205624876902336,-0.4238 ± 0.0612,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan
Diamonds,msbm,0.18906183257301445,0.0014997624031807824,0.1891 ± 0.0015,0.2882185034734584,0.05513916776002302,0.2882 ± 0.0551,4.23384150222682,0.0711260226485886,4.2338 ± 0.0711,0.08300634430267896,0.0012021296058541172,0.0830 ± 0.0012,,,nan ± nan,,,nan ± nan,0.00104218793824564,0.0003627135013911084,0.0010 ± 0.0004,0.02876026059504232,0.0021693784389563656,0.0288 ± 0.0022,41.282913494110105,0.8056716584081104,41.2829 ± 0.8057,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.9826118796671122,0.00086358035555074,0.9826 ± 0.0009,-0.03372892337241239,0.03933078147955373,-0.0337 ± 0.0393,-103.4337010985162,4.002861792389041,-103.4337 ± 4.0029,-1.0163408030395247,0.03899527733710113,-1.0163 ± 0.0390
Eucalyptus,msbm,1.0410804837916383,1.6524238206306496,1.0411 ± 1.6524,1.5108739499654331,0.2150331862481154,1.5109 ± 0.2150,2.7517885321510223,0.35754693651726444,2.7518 ± 0.3575,0.02808810128287926,0.0016224575445996728,0.0281 ± 0.0016,0.07288148456731318,0.034189444841549385,0.0729 ± 0.0342,1.2603564880718217,0.11549149346596764,1.2604 ± 0.1155,0.1002607563836337,0.025272774727867795,0.1003 ± 0.0253,2.9885882782188284,0.05515141819589127,2.9886 ± 0.0552,3.470890522003174,0.3154334030840926,3.4709 ± 0.3154,0.6446658325042447,0.022711665777359828,0.6447 ± 0.0227,0.18448210858698838,0.02281105015730944,0.1845 ± 0.0228,-71.300766588533,4.158526601549083,-71.3008 ± 4.1585,-0.46018372391725626,0.0401230113632674,-0.4602 ± 0.0401,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan
Forest Fires,msbm,0.4037889518698715,0.05090183369557456,0.4038 ± 0.0509,1.1207158390911276,0.04630543339245242,1.1207 ± 0.0463,2.4658715075925812,0.18340290138014925,2.4659 ± 0.1834,0.055030744831750945,0.009608216141867899,0.0550 ± 0.0096,0.13126732174668612,0.08023532773399657,0.1313 ± 0.0802,0.3220045045167728,0.17247215002916788,0.3220 ± 0.1725,0.11253418171108995,0.042607243897063635,0.1125 ± 0.0426,0.1080658011252846,0.06186026940614913,0.1081 ± 0.0619,1.492042636871338,0.06312739149123632,1.4920 ± 0.0631,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,-1.8891302174032663,3.1937165057433003,-1.8891 ± 3.1937,-1.5359911721172481,1.8836022266234231,-1.5360 ± 1.8836,-213.59098074530863,356.0046523605826,-213.5910 ± 356.0047,0.35313904528601825,1.5517984454559344,0.3531 ± 1.5518
House Sales,msbm,0.2372709284162673,0.005221539438260128,0.2373 ± 0.0052,0.6455340380488265,0.01757415907839633,0.6455 ± 0.0176,3.4810149383726303,0.05315727911624435,3.4810 ± 0.0532,0.02882402562731822,0.000639461863848578,0.0288 ± 0.0006,0.011695424031717461,0.005685687792351628,0.0117 ± 0.0057,0.5521940725683567,0.03282924121261337,0.5522 ± 0.0328,0.23900382792887873,0.035054203131638616,0.2390 ± 0.0351,0.0,0.0,0.0000 ± 0.0000,879.0961716175079,18.801398422145265,879.0962 ± 18.8014,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.9030324247800688,0.004968951452549496,0.9030 ± 0.0050,0.4994514623928204,0.03551548934241519,0.4995 ± 0.0355,-44.690307229034985,3.947280578987597,-44.6903 ± 3.9473,-0.4035809623872483,0.03589732128694026,-0.4036 ± 0.0359
Insurance,msbm,0.21901264142330118,0.014498574983781362,0.2190 ± 0.0145,0.37919896997504965,0.029733310276527466,0.3792 ± 0.0297,0.5343832641693762,0.07682728599218536,0.5344 ± 0.0768,0.0216504449711914,0.0011993431376209748,0.0217 ± 0.0012,0.032303685488716316,0.0246282421118337,0.0323 ± 0.0246,0.0,0.0,0.0000 ± 0.0000,0.00615227337985734,0.004828920151047357,0.0062 ± 0.0048,0.01788532706328566,0.02414299986075916,0.0179 ± 0.0241,6.340261840820313,0.02489043408939073,6.3403 ± 0.0249,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.8545898354891215,0.03065462525596254,0.8546 ± 0.0307,0.13218890790669938,0.035435123039577625,0.1322 ± 0.0354,-84.53616020264663,4.0146281881262444,-84.5362 ± 4.0146,-0.722400927582422,0.04264495210248286,-0.7224 ± 0.0426
