Dataset,Generative model,Mean KL,Mean WD,Corr distance,% R2_real - R2_synth
california_housing,CTGAN,0.044+-0.007,0.181+-0.023,1.223+-0.094,39.006+-2.716
california_housing,TabDDPM,0.012+-0.001,0.098+-0.026,0.868+-0.091,8.385+-1.011
california_housing,TabPFN,0.02 +- 0.003,0.03 +- 0.006,0.39 +- 0.12,1.39 +- 0.27
california_housing,Stasy,0.054+-0.009,0.379+-0.093,0.681+-0.087,41.518+-14.193
california_housing,DSB,0.349 +- 0.095,0.321 +- 0.05,0.940,44.991+-12.308
california_housing,DSBM,0.06+-0.01,0.06+-0.01,0.66+-0.28,16.7 +- 0.96
california_housing,LightSB,0.373+-0.044,0.427+-0.069,0.725+-0.139,47.541+-13.252
diabetes,CTGAN,0.520+-0.207,0.135+-0.009,3.660+-0.122,360.290+-158.405
diabetes,TabDDPM,0.723+-0.090,0.363+-0.073,2.086+-0.441,9.767+-18.021
diabetes,TabPFN,1.83 +- 0.38,0.21 +- 0.03,1.47 +- 0.23,2.98 +- 2.59
diabetes,Stasy,0.637+-0.071,0.314+-0.038,1.412+-0.219,32.772+-11.792
diabetes,DSB,2.541+-1.062,0.446+-0.092,1.685+-0.236,28.068+-93.755
diabetes,DSBM,1.31+-0.37,0.25+-0.08,1.38+-0.17,21.1+-17.5
diabetes,LightSB,0.332+-0.029,0.288+-0.021,1.011+-0.098,34.824+-16.427
online_news_popularity,CTGAN,0.230+-0.036,0.109+-0.026,4.445+-0.566,43.915+-4.761
online_news_popularity,TabDDPM,1.837+-0.637,4.887+-0.515,8.359+-0.478,379.073+-345.240
online_news_popularity,TabPFN,0.06 +- 0.007,0.03 +- 0.01,2.21 +- 1.05,1151.8 +- 2162.8
online_news_popularity,Stasy,0.483+-0.065,0.587+-0.086,3.982+-0.607,47.599+-16.371
online_news_popularity,DSB,5.164+-0.114,0.499+-0.008,7.324+-0.007,103.509+-4.994
online_news_popularity,DSBM,0.33+-0.03,0.2+-0.02,3.71+-0.59,102.1+-217.5
online_news_popularity,LightSB,0.517+-0.071,0.613+-0.089,4.281+-0.631,52.733+-19.841
king_county_housing,CTGAN,0.063+-0.024,0.028+-0.021,1.106+-0.04,5.813+-3.35
king_county_housing,TabDDPM,0.012+-0.001,0.041+-0.015,0.968+-0.366,2.976+-82.560
king_county_housing,TabPFN,0.02 +- 0.005,0.03 +- 0.004,0.42 +- 0.09,0.24 +- 1.49
king_county_housing,Stasy,0.393+-0.041,0.387+-0.064,1.541+-0.372,59.433+-18.291
king_county_housing,DSB,0.295+-0.057,0.368+-0.060,3.403+-1.448,"854.217+-1481.979
"
king_county_housing,DSBM,0.07+-0.01,0.09+-0.01,0.46+-0.05,16.4+-3.3
king_county_housing,LightSB,0.532+-0.021,0.469+-0.015,1.840+-0.207,55.207+-21.593
bank_loan,CTGAN,0.114+-0.020,0.050+-0.016,1.038+-0.073,134.248 ± 23.474
bank_loan,TabDDPM,0.031+-0.006,0.045+-0.013,0.185+-0.076,22.260+-5.913
bank_loan,TabPFN,0.13 +- 0.07,0.08 +- 0.007,0.45 +- 0.03,9.36 +- 3.14
bank_loan,Stasy,0.257+-0.083,0.298+-0.048,0.576+-0.097,87.741+-21.419
